"age","incident_hour_of_the_day","number_of_vehicles_involved","auto_make","auto_year","state","severity","start_time","end_time","temperature","humidity","visibility","wind_speed","precipitation"
48,"5",1,"Saab",2004,"NC",2,"2019-10-07 17:43:09","2019-10-07 19:42:50","76.0","62.0","10.0","3.0","0.0"
42,"8",1,"Mercedes",2007,"CA",2,"2020-12-13 21:53:00","2020-12-13 22:44:00","51.0","80.0","10.0","6.0","0.0"
29,"7",3,"Dodge",2007,"NV",2,"2018-04-17 16:51:23","2018-04-17 17:50:46","53.6","16.0","10.0","4.6",NULL
41,"5",1,"Chevrolet",2014,"FL",3,"2016-08-31 17:40:49","2016-08-31 18:10:49","84.2","84.0","10.0","13.8",NULL
44,"20",1,"Accura",2009,"NC",3,"2018-10-17 16:40:36","2018-10-17 17:10:18","73.4","33.0","10.0","6.9",NULL
39,"19",3,"Saab",2003,"CO",4,"2019-12-12 09:48:52","2019-12-12 10:18:05","28.0","88.0","2.0","3.0","0.0"
34,"0",3,"Nissan",2012,"CA",2,"2019-12-21 23:59:00","2019-12-22 00:32:06","55.0","40.0","10.0","5.0","0.0"
37,"23",3,"Audi",2015,"TN",2,"2018-05-23 16:50:24","2018-05-23 22:50:24","87.1","43.0","10.0","8.1",NULL
33,"21",1,"Toyota",2012,"CA",2,"2019-01-30 08:44:18","2019-01-30 09:14:17","57.0","77.0","5.0","5.0","0.0"
42,"14",1,"Saab",1996,"FL",2,"2019-12-20 08:20:12","2019-12-20 10:05:05","57.0","88.0","10.0","6.0","0.0"
42,"22",1,"Ford",2002,"NY",2,"2020-12-17 16:38:09","2020-12-17 19:36:53","32.0","61.0","10.0","16.0","0.0"
61,"21",3,"Audi",2006,"TX",2,"2018-04-19 12:48:57","2018-04-19 18:48:57","64.4","32.0","10.0","12.7",NULL
23,"9",1,"Saab",2000,"AZ",2,"2017-08-16 17:26:10","2017-08-16 17:55:57","97.7","16.0","10.0","4.6",NULL
34,"5",1,"Toyota",2010,"NJ",3,"2020-05-27 19:45:37","2020-05-27 20:15:37","72.0","71.0","10.0","6.0","0.0"
38,"12",1,"Dodge",2003,"TX",2,"2019-04-11 16:35:14","2019-04-11 18:59:25","77.0","71.0","10.0","8.0","0.0"
58,"12",4,"Accura",1999,"CA",2,"2016-07-09 14:54:01","2016-07-09 15:54:01","78.1","60.0","10.0","3.5",NULL
26,"0",3,"Nissan",2012,"CA",2,"2020-11-21 16:32:00","2020-11-21 20:18:30","75.0","26.0","9.0","6.0","0.0"
31,"9",1,"Suburu",2015,"MI",2,"2020-12-10 13:29:00","2020-12-10 15:26:50","47.0","66.0","7.0","7.0","0.0"
37,"19",1,"Accura",2015,"NY",2,"2020-04-18 14:41:08","2020-04-18 15:25:50","45.0","63.0","10.0","15.0","0.0"
39,"8",3,"Nissan",2014,"GA",3,"2020-08-22 16:19:52","2020-08-22 18:05:42","81.0","67.0","10.0","6.0","0.0"
62,"20",3,"Suburu",2011,"NC",2,"2018-10-03 12:46:52","2018-10-03 13:16:16","84.6","53.0",NULL,"8.1",NULL
41,"15",3,"Accura",1996,"TX",2,"2018-02-15 10:59:40","2018-02-15 11:29:21","69.8","100.0","4.0","4.6",NULL
55,"20",3,"Suburu",2000,"VA",2,"2019-05-17 12:12:20","2019-05-17 13:11:50","73.0","66.0","10.0","10.0","0.0"
55,"15",1,"Dodge",2011,"NY",2,"2020-06-25 14:48:35","2020-06-25 15:03:35","88.0","26.0","10.0","8.0","0.0"
40,"6",1,"Ford",2005,"CA",3,"2018-01-31 07:53:12","2018-01-31 08:37:44","44.1","89.0","10.0","3.5",NULL
35,"16",3,"Ford",2006,"SC",3,"2017-09-07 20:37:46","2017-09-07 21:07:21","72.0","68.0","10.0","3.5",NULL
43,"4",1,"Toyota",2005,"TX",2,"2018-12-21 13:31:29","2018-12-21 14:01:20","64.0","25.0","10.0","5.8",NULL
34,"5",1,"Suburu",2003,"CA",2,"2020-06-15 23:38:00","2020-06-16 00:32:44","66.0","75.0","10.0","6.0","0.0"
40,"21",1,"Dodge",2009,"MI",2,"2019-11-25 07:11:55","2019-11-25 08:42:16","37.0","89.0","8.0","7.0","0.0"
45,"5",1,"Accura",2011,"FL",2,"2020-12-24 03:08:00","2020-12-24 05:23:25",NULL,NULL,"10.0","10.0","0.0"
25,"22",4,"Toyota",2005,"NY",3,"2018-11-28 07:47:31","2018-11-28 08:17:21","30.2","93.0","0.8","16.1","0.02"
