age,policy_number,insured_sex,insured_education_level,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
48,521585,MALE,MD,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,9935 4th Drive,5,1,YES,1,71610,6510,13020,52080,Saab,92x,2004
42,342868,MALE,MD,2015-01-21,Vehicle Theft,?,Minor Damage,VA,Riverwood,6608 MLK Hwy,8,1,?,0,5070,780,780,3510,Mercedes,E400,2007
29,687698,FEMALE,PhD,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,7121 Francis Lane,7,3,NO,2,34650,7700,3850,23100,Dodge,RAM,2007
41,227811,FEMALE,PhD,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,OH,Arlington,6956 Maple Drive,5,1,?,1,63400,6340,6340,50720,Chevrolet,Tahoe,2014
44,367455,MALE,Associate,2015-02-17,Vehicle Theft,?,Minor Damage,NY,Arlington,3041 3rd Ave,20,1,NO,0,6500,1300,650,4550,Accura,RSX,2009
39,104594,FEMALE,PhD,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Arlington,8973 Washington St,19,3,NO,0,64100,6410,6410,51280,Saab,95,2003
34,413978,MALE,PhD,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,5846 Weaver Drive,0,3,?,0,78650,21450,7150,50050,Nissan,Pathfinder,2012
37,429027,MALE,Associate,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,VA,Columbus,3525 3rd Hwy,23,3,?,2,51590,9380,9380,32830,Audi,A5,2015
33,485665,FEMALE,PhD,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,4872 Rock Ridge,21,1,NO,1,27700,2770,2770,22160,Toyota,Camry,2012
42,636550,MALE,PhD,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,42300,4700,4700,32900,Saab,92x,1996
42,543610,FEMALE,Masters,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,1558 1st Ridge,22,1,YES,2,87010,7910,15820,63280,Ford,F150,2002
61,214618,FEMALE,High School,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,SC,Springfield,5971 5th Hwy,21,3,YES,1,114920,17680,17680,79560,Audi,A3,2006
23,842643,MALE,MD,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,SC,Northbend,6655 5th Drive,9,1,YES,1,56520,4710,9420,42390,Saab,95,2000
34,626808,FEMALE,MD,2015-01-08,Parked Car,?,Minor Damage,SC,Springfield,6582 Elm Lane,5,1,NO,1,7280,1120,1120,5040,Toyota,Highlander,2010
38,644081,FEMALE,College,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,SC,Springfield,6851 3rd Drive,12,1,NO,0,46200,4200,8400,33600,Dodge,Neon,2003
58,892874,FEMALE,MD,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,63120,10520,10520,42080,Accura,MDX,1999
26,558938,MALE,College,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Riverwood,5074 3rd St,0,3,?,1,52110,5790,5790,40530,Nissan,Maxima,2012
31,275265,MALE,High School,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,4546 Tree St,9,1,NO,0,77880,14160,7080,56640,Suburu,Legacy,2015
37,921202,FEMALE,MD,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,72930,6630,13260,53040,Accura,TL,2015
39,143972,FEMALE,High School,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,VA,Columbus,8101 3rd Ridge,8,3,?,2,60400,6040,6040,48320,Nissan,Pathfinder,2014
62,183430,MALE,JD,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,5380 Pine St,20,3,NO,1,47160,0,5240,41920,Suburu,Impreza,2011
41,431876,FEMALE,Associate,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,8957 Weaver Drive,15,3,?,1,37840,0,4730,33110,Accura,RSX,1996
55,285496,MALE,High School,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,71520,17880,5960,47680,Suburu,Forrestor,2000
55,115399,MALE,MD,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,5667 4th Drive,15,1,?,2,98160,8180,16360,73620,Dodge,RAM,2011
40,736882,MALE,College,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,77880,7080,14160,56640,Ford,Escape,2005
35,699044,MALE,Masters,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Arlington,3418 Texas Lane,16,3,NO,1,71500,16500,11000,44000,Ford,Escape,2006
43,863236,MALE,High School,2015-01-28,Parked Car,?,Minor Damage,PA,Arlington,2533 Elm St,4,1,YES,1,9020,1640,820,6560,Toyota,Camry,2005
